,src,dst,relationship,weight
0,11283138,11283264,call,1879
1,11283138,11283264,call,6220
2,137753751,11283264,call,5636
3,137753751,11283264,call,1338
4,11282541,11283264,call,740
5,1022648568,11283264,call,3098
6,1022648568,11283264,call,2611
7,11255559,11283264,call,273
8,11255559,11283264,call,18
9,11282843,11283832,call,309
10,11282843,11283832,call,75
11,11283738,11283832,call,38
12,11283738,11283832,call,254
13,11255559,11283832,call,14
14,11254526,565651299,call,67
15,713229829,565651299,call,121
16,713229829,565651299,call,70
17,137599961,565651299,call,18
18,137599961,565651299,call,100
19,845248807,565651299,call,651
20,845248807,565651299,call,938
21,668521861,565651299,call,608
22,950196627,11109004,call,349
23,950196627,11109004,call,1504
24,311719264,689690539,call,2121
25,311719264,689690539,call,1646
26,11255216,689690539,call,31
27,1126297890,689690539,call,344
28,1126297890,689690539,call,158
29,11282849,689690539,call,572
30,11282849,689690539,call,2209
31,11282273,689690539,call,397
32,11282273,689690539,call,237
33,11282766,689690539,call,58
34,11282766,689690539,call,89
35,137599961,689690539,call,1359
36,137599961,689690539,call,1033
37,879711562,689690539,call,21067
38,879711562,689690539,call,8445
39,11283138,531526145,call,69
40,11283138,531526145,call,17
41,11282843,531526145,call,557
42,11282843,531526145,call,428
43,748408215,531526145,call,637
44,748408215,531526145,call,375
45,1126297890,531526145,call,12
46,1126297890,531526145,call,36
47,1022648568,531526145,call,570
48,1022648568,531526145,call,502
49,137599961,531526145,call,103
50,11283264,11282822,call,31
51,137753751,11282822,call,51
52,137753751,11282822,call,107
53,1126297890,11282822,call,34
54,11282849,11282822,call,240
55,11282849,11282822,call,275
56,11282541,11282822,call,593
57,11282541,11282822,call,657
58,11255674,11282822,call,733
59,11255674,11282822,call,2130
60,137671151,11282822,call,122
61,713229829,11282822,call,198
62,713229829,11282822,call,130
63,11255559,11282822,call,487
64,11255559,11282822,call,331
65,902414532,273508404,call,1067
66,902414532,273508404,call,603
67,11282843,273508404,call,50
68,11282273,273508404,call,309
69,11282273,273508404,call,125
70,916965905,273508404,call,27
71,916965905,273508404,call,138
72,879711562,273508404,call,24
73,879711562,273508404,call,64
74,902414532,879711562,call,177
75,311719264,879711562,call,3907
76,311719264,879711562,call,6694
77,11255216,879711562,call,877
78,11255216,879711562,call,195
79,1126297890,879711562,call,700
80,11282273,879711562,call,667
81,11282273,879711562,call,1038
82,713229829,879711562,call,39
83,137599961,879711562,call,948
84,137599961,879711562,call,1522
85,916965905,879711562,call,429
86,273508404,879711562,call,67
87,273508404,879711562,call,25
88,11255559,879711562,call,1172
89,11255559,879711562,call,6965
90,311719264,902414532,call,979
91,311719264,902414532,call,304
92,11283138,902414532,call,58
93,11283138,902414532,call,108
94,11282843,902414532,call,667
95,11282843,902414532,call,679
96,11255216,902414532,call,67
97,11255216,902414532,call,618
98,137753751,902414532,call,216
99,137671151,902414532,call,322
100,11282766,902414532,call,320
